,User,Time,Location,Description
15,Jeff,2011-09-05 17:15:08+00:00,Publik Area,Searching-Watching-Monitoring
16,exoldier,2010-07-21 22:35:16+00:00,"Dubai, United Arab Emirates","Arabian Oil Mogul, Max Bidding #BTC since 2010. Bet more or gtfo."
17,Avinash K,2012-09-06 04:45:31+00:00,,ಕನ್ನಡಿಗ...ಭಾರತೀಯ...
18,1DollarGas,2022-05-12 21:45:34+00:00,,PARODY ACCOUNT.... Gas hasn't been $1 since Donald Trump was President!
19,Abhishek Singh,2014-05-25 11:34:00+00:00,"Jaipur, India",Hey I am the keen student of life and its positives
20,jacks_silence,2021-10-07 17:13:53+00:00,"Nagpur, India",The quite kid.
21,ZhiWu,2022-10-23 01:06:00+00:00,,
22,Dami “Mr.Damention” Adeoye,2009-05-15 11:36:40+00:00,"Dallas, TX",A British-Nigerian living in the U.S. | Family man | Entrepreneur | Studio Owner | Record Producer | Audio Engineer | IG @mrdamention #COYG 🔴
23,Hello Cardify,2022-11-08 10:01:39+00:00,,"A sales action platform, enabling you to take action with the best prospects on a day-to-day basis."
24,Zoho Sign,2019-01-08 11:15:09+00:00,"Austin, TX","Sign, paperless!
A complete digital signature app 👨🏻‍💻 🧑🏼‍💼👨🏽‍💼
APIs and SDKs are available! 
Part of the @Zoho suite
Email: support@zohosign.com"
25,Bubba Larkin,2022-06-29 20:41:11+00:00,New York,"Loving, Gentle and honest man"
26,Nick Orlando,2013-10-08 20:06:09+00:00,"Long Island, New York",Helping clients buy and sell real estate across Long Island since 2012 📲 631-747-0985
27,t🌴'artistiK,2022-10-14 14:12:58+00:00,France,"◾ t'artistiK
Digital Production & Promotion ressources MAKER
👉 https://t.co/Y1YHlkkonW

▫ SAMPLiNG◀ UNiT
Music Prod. ⚡ ...➕...
🔊 https://t.co/HiczmV7r6N"
28,James,2022-10-31 00:03:58+00:00,,
29,Referral Partner.com,2009-04-23 21:11:53+00:00,SF Bay Area,"Your guide to B2B products and services
Launching January 2023"
30,Lukáš Ondrejček,2009-10-19 11:59:48+00:00,Slovakia,"Co-founder & product owner WebJET NET, LMS, DSK, DMS"
31,Textable,2020-05-04 02:33:16+00:00,"New Jersey, USA","Textable is an out of the box messaging solution for users of VoIP phone providers like Flowroute, Telnyx, https://t.co/W9mGBCQcaX, Twilio and more!"
32,Kike Cardona,2009-11-24 18:12:15+00:00,San Pedro Garza García,"Actor, locutor, mercadólogo, comunicólogo, garnachero y maestro Pokémon"
33,Jake Triton,2021-09-13 17:37:32+00:00,"West Palm Beach, FL",just thoughts to myself
34,Sales Whizz®,2019-09-24 14:01:53+00:00,"England, United Kingdom",Sales Whizz® provides professional Sales Coaching and Mentorship. We can also drive new sales for you as a Sales Consultancy.
35,Marcos,2010-07-08 17:51:06+00:00,Santiago de Compostela,"📢 De toco un pouco "" Lo mejor de la vida no se planea simplemente sucede"" 📢 Aprendendo cada día."
36,Jessica Nameh,2022-09-13 02:44:24+00:00,,
37,Reading,2017-09-02 13:48:36+00:00,,I love to read
38,Felipe Sardinha,2012-06-08 23:55:24+00:00,Brasil,
39,Altois Digital,2020-05-11 13:43:15+00:00,"Mumbai, India",We craft unique digital experiences that engage your target audience and convert them into loyal customers.
40,Yassine Ammar,2020-12-30 10:20:11+00:00,"Muscat, Oman","Blockchain dev, passionate about contributing to web3 projects."
41,Dione Munir,2010-08-11 16:19:55+00:00,Uberlândia (MG),
42,Reinhard Neudorfer,2022-02-26 15:05:48+00:00,,
43,Merille Hommik,2017-09-24 19:50:31+00:00,Estonia,"art-/history, teacher, artist
🇺🇦Слава Україні!🇺🇦
РВК-ИН!🇺🇦🇪🇪
Father, forgive them, for they do not know what they are doing. 
Lk 23:34
Pax et Bonum!"
44,Vanessa C.,2022-09-28 18:26:04+00:00,,I believe in God! I believe in love and being kind!  We all have an emptiness that only God can fill! I believe that God can do everything BUT fail!
45,Referral Factory,2021-02-15 06:59:44+00:00,Worldwide,"Want to grow your business? Referral Factory is the easiest way to do that. Sign up, build a referral program, and ask your customers to #SpreadTheWord 🚀"
46,Ilianatzanaki,2011-09-12 19:25:10+00:00,Amsterdam,vibes 🌻
47,Eugène Kuisch,2008-02-15 19:39:30+00:00,Nieuwegein,"Succes is de juiste mix van mensen, middelen en focus op de missie. Ik help je jouw juiste mix te vinden 👨🏾‍🚀 📡 🚀"
48,C M,2010-04-01 19:11:10+00:00,"Havelock, South Island","Trash opinions.

What's in the speaker's portfolio?

nuclear energy? great! waste in your kid's room.

digital $? great! we'll take your house until you pay."
49,Luke Gilliam,2022-10-26 14:53:00+00:00,,"Helping ACOs recruit practices, increase shared savings, and achieve value-based care."
50,Zur | Cold Emails 📨,2022-03-04 10:08:47+00:00,Philippines,Building a lead gen agency slowly but surely | Tweets about cold outreach
51,Lead Nectar,2022-10-27 18:00:25+00:00,New York,Transformational Business Consulting
52,Sales Innovation Expo,2012-05-08 08:54:37+00:00,,"Welcome to #SIE22 - the largest sales event for professionals, offering cutting-edge advice and the latest technologies, products & services."
53,Michaela Lopez | Content Strategist,2018-04-17 21:23:19+00:00,"Davao City, Philippines",ENTP | Social Media Marketer | Content Strategist | Lead Generation Specialist |
54,Daniel Tiganila,2008-04-24 21:16:24+00:00,Bucharest,I post & reply on : #entrepreneurship  #realestate  #businesses  #online  #tennis  #love  #life
55,Roberto Castro,2008-04-05 05:37:25+00:00,Switzerland,Compartiendo ideas de cómo trabajar mejor utilizando la tecnología de manera inteligente.
56,Pranav Bhadane,2021-06-21 09:28:10+00:00,"Dhule, India","IIT Kharagpur 26' Industrial System Engineering
Associate Member at Entrepreneurship Cell IIT Kharagpur, India's Largest student run organization"
57,BurryGirl,2019-04-24 20:18:00+00:00,"Barcelona, España",Vivimos en la era del terrorismo informativo... subes o bajas ?
58,Alejandro Ruiz 🌐,2011-02-15 23:11:28+00:00,Entre Asturias y Ferrol,"Account Manager en @Hyliacom | Papá, Marketing y fútbol, in that order | Siempre aprendiendo."
59,Mendy Krauss 👨‍💻,2019-05-01 02:09:49+00:00,"Lakewood, NJ","Director of Business Development at @idtechsolutions |
Some of our services? #cybersecurity, #ManagedITServices, #CCTV, #AccessControl, #AlarmSystems, etc."
60,Grup Kafegama,2011-01-29 09:49:25+00:00,ESPAÑA,"Somos una empresa joven y dinámica que huye de lo clásico y nos gusta innovar buscando siempre nuevas tendencias , sabores , etc .🌞☕️🛠"
61,LawClass,2022-10-22 22:36:10+00:00,"Porto Alegre, Brasil","O conteúdo jurídico mais atualizado, em cursos direcionados com aulas de 5 minutos!"
62,odouglasvieira,2019-07-31 18:13:49+00:00,"São Paulo, Brasil",Marketing Analyst
63,Mike Holloman,2008-09-12 05:25:03+00:00,"Houston, TX",Business broker (and also a parent; friend; animal and nature lover; general contributor to society)
64,▶️magiaenventas,2009-12-25 14:02:04+00:00,"Boca Raton, FL",Sales Transformation #salespills #MTB https://t.co/ZQRyfoj5rl… #salesup #salesb2b #ventaconsultiva
65,Christian Thyes,2011-10-25 20:09:45+00:00,Darmstadt,
66,Jennifer Vernon,2022-06-12 01:19:22+00:00,Los Angeles,"I'm a #BrandMarketing specialist. I like to post videos about #CorporateBranding, #BrandingTips and #OnlineBranding."
67,Zowie,2020-03-09 14:00:54+00:00,,The Customer Service automation platform built to help ecommerce brands delight customers and grow revenue.
68,Elmer Cado,2013-09-07 05:31:16+00:00,"Nueva York, USA",Pensado en pendejadas...
69,Chosen One,2022-09-26 20:59:31+00:00,,
70,Travis Tomlinson,2022-04-29 01:48:35+00:00,,Real estate dude
71,Grizzlead,2015-10-30 12:07:02+00:00,France,French marketing agency 🇫🇷. We thrive to develop international & online business in France. #seo 🔍 #marketing 🚀 #socialmedia 😍
72,Arunkumar,2010-07-19 12:30:20+00:00,"tamilnadu,india","Product Manager, and scriptWriter🌏🛂."
73,BlueDot,2019-05-27 11:55:35+00:00,,"The Blue Dot -
Active search for the babies of today that are going to be sharks of tomorrow's"
74,Crypto Legolas 🔺,2021-03-13 12:30:44+00:00,Ayrık Vadi 🏹,Temel Analist/Mechanical Engineer.Paylaşımlarım yatırım tavsiyesi değildir. cryptolego311@gmail.com #Web3 #IoT #Metaverse #Bitcoin #Bnb #Avax $Zil $Ceek $Xava
75,Sales Manager 101,2022-09-29 16:35:58+00:00,,Get our FREE Little Black Book of Sales Management here: https://t.co/jkiwzwZjCp
76,César Herrera,2016-06-25 02:57:33+00:00,,Marketing Freelancer
77,Monti Pace | 2.0,2019-05-21 18:04:04+00:00,"Westminster, MD",✨Solopreneur @ 2.0 Enterprises | I am on a journey 🚀to help myself & others free up time & mental 🧠 energy by systematizing ⚙️ our lives & businesses.
78,Ramiro Libreros,2022-09-24 19:46:33+00:00,,😎
79,Mobileforce Software,2014-08-07 20:48:06+00:00,"Sunnyvale, Ca. ","Sales/Service Productivity: Configure, Price Quote, Field Service Management, Self-Serve Portals"
80,Cloe Mark,2022-10-13 14:53:48+00:00,,
81,Ian B,2010-11-18 13:55:19+00:00,London,
82,Dan Luke,2022-10-13 09:23:29+00:00,"Liverpool, UK",Soon to be Father. Pretend Athlete. Next Challenge: Sub 3 LDN Marathon April 2023 & UTMB Val d'Aran 55K July 2023 ⛰️
83,SMB Digital,2022-10-12 15:12:03+00:00,"Los Gatos, CA","we help SMBs digitize operations so they can go farther, faster"
84,Natalia Velez,2012-05-25 22:54:27+00:00,"Los Angeles, CA",International Tax Director @RiotGames | CEO & Co-founder @Disrupt3rs - Legal Tech for the Creator Economy | 🇨🇴 🇺🇸
85,Kishan Bhanabhagwanwala,2019-10-02 11:40:43+00:00,Internet,"Investor🇮🇳 | Trader📈 | Learner📚 | Notion |
I just aggregate the ideas from other notion users and, by combining them, create one meaningful tool."
86,Evan Roggio,2022-10-12 06:52:47+00:00,"Irvine, CA","Mortgage & Real Estate Professional
E Mortgage Capital, Inc. | NMLS#1416824
NMLS#2061874 | CA DRE #02180935"
87,Pennutpa,2021-12-21 02:08:13+00:00,"ปราจีนบุรี, ประเทศไทย",SoD
88,aHu,2019-03-14 10:18:35+00:00,,in your heart
89,Ap Singh,2022-07-21 06:42:56+00:00,⬜️⬜️⬜️⬜️⬜️⬜️⬜️⬜️⬜️⬜️ $100 MRR,On a journey to build a profitable saas. #buildinpublic
90,Yannis Souris,2022-09-21 18:41:55+00:00,"Ottawa,  Ontario,  Canada",I help increase revenue of B2B tech companies by building and scaling their marketing operations. #techmarketing #B2Bmarketing #SaaS #Demandgen
91,Tata Hryhorieva,2014-08-10 14:05:28+00:00,,
92,The Chief,2020-01-11 19:29:23+00:00,,God Bless America!
93,Oscar Leo,2022-09-24 09:10:08+00:00,,
94,Stephen Ying,2007-04-01 07:39:47+00:00,"Chengdu,China",为义受逼迫的人有福了，因为天国是他们的。
95,Nick Pearce,2019-11-19 08:04:45+00:00,"Queensland, Australia","Director of @Weartek.Specialist workwear company that design, manufacture & supply highly technical FR Workwear & Recycled Circular Economy Sustainable Workwear"
96,David Sorbara,2022-10-06 18:41:26+00:00,World Wide Web 🌎,#Entrepreneur | Founder & President of @barkley_hq | Building a #SaaS business | Tweeting my journey
97,Guille,2007-08-11 23:54:26+00:00,Canary Islands ,"Serial music industry entrepeneur - Making changes in web2 (@zndrke , @beatlockio , @flowtheapp) to be prepared for web3 (@mintickt)"
98,kilianbarrera,2009-05-13 14:36:04+00:00,Las Palmas de Gran Canaria,Samurai CEO & CSO en @Welovroi. Emprendiendo descalzo y con datos durante 20 años. Contenido: #ventas #redessociales #negocio #startup #marketing #nocode
99,MX Fella,2022-09-29 18:50:06+00:00,,"SLAVA UKRAINI! 

#SlavaUkraini  #nafo #motocross
#boykottrussia 
https://t.co/raZtZzhMpb DONATE"
100,Willow & Puddifoot,2019-07-15 09:05:20+00:00,"Oxford, England","The people development specialists. Management training programmes, wellbeing workshops, coaching and consultancy. Scaleup experts."
101,Kainos Mbanda,2016-08-24 09:28:41+00:00,"Harare, Zimbabwe","I am a Quantity Surveyor and a freelance draughtsman. i am an anime creator to be and an advocate for better Zimbabwe,"
102,Mike Nicholls,2008-06-18 06:06:12+00:00,Sydney,"Partner @ Main Sequence Ventures 
Check out our Australian #DeepTech Jobs & Talent Network https://t.co/mw7EYSCS51
Book a morning call https://t.co/gJAf99JKoQ"
103,Ronie Melo,2010-08-05 20:10:58+00:00,São Paulo,
104,Pratik Verma,2022-07-23 06:55:51+00:00,,
105,عبدالحمید,2009-10-22 13:47:51+00:00,لاہور، پاکستان,
106,Ahmet Urel,2019-08-07 19:02:00+00:00,"Denizli, Türkiye",Software Architect 💻 Entrepreneur 🚀 AI enthusiast 🤖
107,CX Scoop,2022-10-03 10:32:10+00:00,,Get the latest scoop on B2B news and trends in #customerexperience. We talk about #contactcenter #crm #feedback #ai #automation #analytics #wfo and more!
108,Carlos Aguilar,2010-05-19 02:48:00+00:00,,"esposo, amigo, empresario, abogado. poeta y por supuesto, mexicano. 🇲🇽"
109,OllyDaGooner,2014-09-30 10:27:20+00:00,,Gold.
110,Father Of Creativity 👽™️,2014-07-15 21:01:32+00:00,creativity,"ꜱᴛᴀʀᴛᴜᴘ ᴅᴇᴠᴇʟᴏᴘᴇʀ || ᴄʀᴇᴀᴛɪᴠᴇ ʙᴜꜱɪɴᴇꜱꜱ || ᴘʀᴏ ᴡʀɪᴛᴇʀ || ᴇᴠᴇɴᴛ ᴍɢᴛ || ᴀ&ʀ || ᴛᴇᴅx ꜱᴘᴇᴀᴋᴇʀ || ᴄɪɴᴇᴍᴀ ᴇxʜɪʙɪᴛᴏʀ              

ʙᴜꜱɪɴᴇꜱꜱ/ᴘᴀʀᴛɴᴇʀꜱʜɪᴘ @creatng_  🌼🚫"
111,babybratdarling,2022-09-19 01:00:50+00:00,"England, United Kingdom","Yes I'm real and genuine.
Yes I expect the same.
I am new to this."
112,Mike Dyson,2019-01-09 19:47:46+00:00,United Kingdom,I don’t follow and I’m not followed.
113,T|E,2015-05-09 12:49:18+00:00,,Lawyer. Entrepreneur
114,Dilabco,2022-08-24 15:52:34+00:00,United States,We bring Artificial intelligence and laboratory automation to a clinic/hospital near you. Helping healthcare system to use cutting  edge technologies.
115,Kris Millar,2022-07-08 08:20:34+00:00,Scotland,Blockchain | Web3 | Impact. Co-founder Spade Tech Web3 security and development studio. Coming soon: https://t.co/tu2VFmIoBi.
116,Ag,2022-09-30 04:26:19+00:00,United States,
117,The Problem-Solver💙🚀,2019-09-19 16:19:56+00:00,Anywhere Business Problem Dey,•Problem-Solver | Business & Startup Guy | Budding Business Intelligence Analyst | #BusinessAnalysis #Operations #Strategy #Agric | 1/3 Building @Agrolinking
118,Herma,2021-06-05 12:40:16+00:00,,
119,S HP,2022-10-01 06:46:08+00:00,,
120,Melissa O’Kane,2022-09-30 19:36:08+00:00,"San Francisco, CA","Director of Product Management @Salesforce / @SalesCloud
Founder & President Salesforce Women in Product 
@melissa@mastodon.cloud 

Tweets: My own"
121,Channelnomics,2010-04-09 22:16:40+00:00,New York,"@Channelnomics is the channel’s one-stop source of information and guidance on the dynamic technology channel and industry.

CEO: @lmwalsh_CN"
122,CodingDrive.com - Domain Name for Sale,2021-02-07 15:13:24+00:00,Domain Name For Sale ,#code #coder #coders #coding #codingin6words #100DaysOfCode #GirlsWhoCode #SaaS #InternetOfThings #AWS #software #softwareengineer #softwaredeveloper #devops
123,theskuare,2021-09-12 18:52:20+00:00,,Historical NFT’s #history #art #nft #web3
124,Gamze Özakın,2022-09-21 14:52:29+00:00,,
125,Emre Gökşin,2008-10-30 18:35:59+00:00,İstanbul,"#DigitalMarketer | Founder @dijitalfakulte
Past : @turkcell @gittigidiyor @puhutv"
126,Jake @ Copper CRM,2022-09-29 13:47:40+00:00,,
127,brn Cifuentes,2013-08-19 21:15:24+00:00,,
128,Mike Wawszczak,2017-08-08 18:49:44+00:00,"Los Angeles, CA","(pr. ""vafsh-chak"") // incorrigible earnestpoaster // GC @alliancedao // Architect @thecoinlander // iamnotyourlawyer.eth // personal account, notlegaladvice.obv"
129,Mark Jackson,2014-12-16 18:17:02+00:00,"Hartford, CT",
130,Private Investigator Switzerland™ 🇨🇭,2020-12-15 07:53:56+00:00,"Zürich ZH, Switzerland",Private Investigator Switzerland has 220 years of know-how and 85 years of combined investigative & intelligence management experience. #Detective #Investigator
131,TaskReviewer for Teamwork,2020-03-24 19:51:06+00:00,"Berlin, Germany",Visual feedback made easy for @Teamwork. Right within Teamwork you can get feedback and approval for media assets and files!
132,WithGodEarthandI,2021-02-06 07:16:39+00:00,Planet Earth,"God created the planet Earth for people to live in peace...
#Ukraine #nowar #victoryofgoodoverevil 🌻🇺🇦"
133,QUICKBLOCK®,2021-08-17 13:48:33+00:00,Glasgow ,"QUICKBLOCK is a flat-pack, modular building system made from 100% recycled plastic. WHAT WOULD YOU BUILD?"
134,Rahul Deshmukh,2012-03-08 14:17:18+00:00,"Pune, India","Salesforce BA | Certified Admin |16X Superbadges | Trailblazer| ERP|
IT Business Analyst (IIBA Endorsed) 2021
MBA Marketing 2016 
B.E Mechanical Engg 2014"
135,wadim 😷,2021-12-12 20:33:52+00:00,"Heidelberg, Deutschland","🇺🇦 born, 🇩🇪 raised. NAFO Fella Runner. Donate to: @georgian_legion @UkraineAidOps @Uk4Ua @all_4_ukraine @3xR_Team @RipRawlings @MinisterBoomer"
136,pravin boppuri,2011-12-28 00:05:36+00:00,Germany,"Enjoy solving problems with Data, learning no-code with @100daysnocode. Data Architect by profession and also a Human Being passionate about health & wellness."
137,Vishal Sahjani,2015-02-14 09:23:24+00:00,Ahmedabad,"I help small businesses go digital with NoCode LowCode apps |
Learning Web Development | Chartered Accountant"
138,luciano,2011-10-24 04:59:21+00:00,Mexico,
139,Pawel Warszycki,2020-03-13 20:19:40+00:00,Germany,
140,Galactica,2012-06-07 10:54:01+00:00,Melyat'lı bir Laz,"+What do you hear Starbuck?
-Nothing but the rain, sir!
+Then grab your gun and bring in the cat. 
-Aye aye sir!
So Say We All!"
141,I am Max.,2022-04-05 10:17:42+00:00,,Neo-Generalist | UX Designer | Jack of all trades | Currently exploring low code & no code tools.
142,Carbon&Finch,2021-04-01 08:18:17+00:00,"Epsom, United Kingdom ","We are a Microsoft Silver Partner, delivering high-quality, intricate solutions for enterprises using Microsoft Technologies."
143,UEAY,2018-03-27 14:57:00+00:00,"Düsseldorf, Deutschland",Learning.Building.
144,hans 🏗️,2019-04-04 18:43:06+00:00,Southeast Asia,#MPNC4
145,Michael 🫠,2014-02-16 08:31:59+00:00,,
146,Konstantin Harten,2009-05-09 23:09:10+00:00,"Hamburg, Germany",💻 Software Engineer from ⚓️ Hamburg
147,nadim hallaq,2019-09-02 03:35:25+00:00,Montreal,building…
148,James Bowles,2010-12-08 13:06:23+00:00,Dublin + NYC + SF,CCO @MasonAlexander_ & https://t.co/FvBndE3m3Z  Co-founder @Leaders_of_Tech
149,GhostInTheSh | shail.eth,2018-12-02 17:53:35+00:00,"Mumbai, India","Shail B, but sometimes Shail G. I am no longer the human formerly know as Shail nor the program formerly Bourne as sh."
150,Sriram Vaidhya,2009-03-03 04:57:58+00:00,Singapore 🇸🇬,"Experiences SEAHKTW & India @Airbnb, proud dad to 2 boys, ex-@Apple Evangelist, ex-quant @ThirdPointLLC and @Citadel. @CarnegieMellon and @Columbia alum."
151,Ricardo Dutra,2020-01-03 15:11:33+00:00,,Amor ao conhecimento
152,socramXX,2013-06-12 08:49:35+00:00,"Fresno, CA",panda
153,Cris,2021-08-21 08:33:53+00:00,"Berkeley, CA",
154,jamesvoodooFella,2014-08-31 18:49:26+00:00,,🇺🇦
155,Blue,2016-06-26 20:28:29+00:00,Tantallon CA,Immigrant and happy. don’t trust the narrative.
156,Ikpoma Joseph Agasi,2018-03-15 19:42:35+00:00,Nigeria,i'm a Student
157,Filip Wagmi,2022-03-03 13:15:57+00:00,Metaverse,"We all gonna make it! 🚀

#blockchain #metaverse #web3"
158,Arni Westh #CatFellas #NAFO 🇩🇰🇪🇺🇺🇦,2014-02-27 22:17:02+00:00,Copenhagen,
159,FRANCISCO MURILO SOARES TEMOTEO,2022-01-24 15:46:46+00:00,FORTALEZA-CE,ser   feliz   com  jesus!!!!  amém!!!!
160,₳D₳TOSHI N₳K₳SCOOTER,2016-06-29 01:21:08+00:00,,"(●̮̮̃•̃) Hey YO (●̮̮̃•̃)      
Cryptowar  🔫  MULTICHAINERS / CALISTHENICS 
 - Im here to exterminate the fudders - no mercy"
161,Plasmid144 Digital Marketing,2022-04-29 15:07:25+00:00,,"We are a digital marketing company based in Ontario Canada that focuses on digital transformations. We specializ in Website Design & Development, SEO & PPC."
162,Ry,2021-01-14 14:02:25+00:00,,
163,Amber Startup,2022-08-03 12:44:56+00:00,🇪🇺 CEE,"Insights and opinions from #startups in Poland, Lithuania, Latvia, Estonia and Ukraine.
 🇵🇱 🇱🇹 🇱🇻 🇪🇪 🇺🇦"
164,Marimuthu R,2014-06-21 16:25:02+00:00,Aranthangi,From மேலப்பட்டு
165,Topias Pulkkinen🇺🇦,2015-11-21 18:50:51+00:00,The Netherlands,"Into geopolitics, tech, finance & science 
🇫🇮 uni student in 🇳🇱 Kannatan, mutten edusta @natonuoret :)"
166,Onur Coskun ,2021-03-22 14:31:35+00:00,Wertheim am Main,"""Für jeden Menschen, den die Nacht nicht besiegt, gibt es einen Morgen, einen Tag und eine Sonne als Belohnung."""
167,Toby Kiernan,2022-01-31 10:49:33+00:00,USA,"I'm interested by human creativity and technology. Nature enthusiast, self-motivator, Animal lover & Organic SEO Strategist. Follow ME on @Medium @Newsbreakapp!"
168,Databeys,2021-06-06 21:46:01+00:00,"Dubai, UAE",HubSpot Solution Partner | Zendesk & Pipedrive Partner | CRM Implementation | Automation | Integration | CRM Migration
169,Steve Rella,2011-02-25 18:13:07+00:00,,
170,Richard Jones,2012-01-30 02:16:31+00:00,,
171,Bogota Real Estate,2020-06-15 14:56:19+00:00,"Bogotá, D.C., Colombia","#SoyAndresAmaya,
Realizador Audiovisual, Profesional en negocios inmobiliarios
🏘️ #AgenteInmobiliario en #Bogotá 
🏫 #MarketingInmobiliario
🏰 #RealEstate"
172,Scott,2010-07-08 20:00:30+00:00,"Portland, OR",Proud Husband & Father. SoCal native. PNW Convert. Tottenham until they kill me. COYS. RCTID.
173,hellochante,2010-08-07 07:57:01+00:00,,
174,Bezerraxan Observando o Mundo dos Sapiens,2009-06-07 14:42:45+00:00,brasil,Brasil
175,Daniel Kursa,2013-03-15 12:46:48+00:00,Hlavní město Praha,🇪🇺🇨🇿
176,Jakub,2021-03-22 18:22:42+00:00,"Jarocin, Polska","🔥 Welcome to my Twitter feed, where people come for enjoyment."
177,yang,2020-02-07 08:35:58+00:00,beijing,PM
178,Richard Hayes,2017-07-27 00:33:49+00:00,"Houston, TX",Catholic | Husband | Father | Attorney | Partner at Walker & Taylor | Director for 2A Lawyers | Firearms Instructor | Legislative Advisor
179,d,2015-11-24 22:03:22+00:00,,
180,Laurent Sayada,2014-11-05 02:43:18+00:00,Montreal,"Mortgage broker, Courtier hypothecaire, Help clients from Quebec and abroad to finance real estate investments in Canada, Bilingual French/English"
181,マサノスケ _1107🌟🌟🌟🌟🌟,2010-04-22 11:52:03+00:00,"Yokohama,JAPAN",事業側でマーケティングの仕事をするようになりました。 #MSBS 2期生 家族でマリサポ #fmarinos 勇猛果敢にN15で旗振り沼！ 2022 娘: #4 SHINNOSUKE 息子:#6 WATANABE 妻:#18 MIZUNUMA 私:#19 SANE &25 KOIKE
182,Allen Wrestling,2009-12-22 01:21:45+00:00,"Allen, TX","Match updates, tournament progress, travel info & more from Eagle Wrestling staff and supporters"
183,Spike_V,2014-04-07 21:15:48+00:00,"Pennsylvania, USA",Games and all things nerdy. Love dogs -hell all animals. Rescue. Metalhead.
184,Aermensa,2022-09-18 18:14:52+00:00,,"We offer specialized Airtable & Zapier consulting, development & training for small businesses."
185,John Hopper,2010-04-15 13:11:00+00:00,"Detroit, Michigan","Original, family man, world's greatest dad, deal chaser, dream catcher, innovator, creator, businessman, entrepreneur and having a blast doing it all."
186,Ravi Soni,2010-04-19 18:46:17+00:00,India,"Co-founder at @expresstechsoft , Skype: ravi.soni971/ WA +91-9806724185
Tweets are my personal views."
187,Sebastián Mozó,2022-05-25 04:27:40+00:00,Chile,"Ayudo a mejorar la realidad de mis clientes.
|
Director Comercial en @EmpConectada"
188,Mario Rosales,2009-08-16 03:28:59+00:00,España,"Enterprise Sales Director 
@Platzi"
189,NachoNacho,2018-08-14 20:34:31+00:00,San Francisco,"A B2B SaaS Marketplace.
For Buyers: Manage all subscriptions in one place using virtual cards.
For Sellers: Acquire new subscribers at lower CAC."
190,Raphaël - Baback,2022-09-09 12:41:45+00:00,Paris - Strasbourg,"CEO @Baback_
Returns & Exchanges on @Shopify"
191,Mary O'Brien,2022-05-09 14:36:09+00:00,France,Discovering the world of SaaS with @JoinSecret | Marketing & content writer | DCU & Neoma graduate | Can't figure out what to put as my cover photo 🤦‍♀️
192,angela,2012-03-19 20:27:09+00:00,,
193,Christian🔺,2011-03-02 05:23:03+00:00,Ukraine,Amerikanski living in Ukraine for under $1.5k a month while Stacking Cash 📸 Photo 📈 Stocks / Crypto💰E-com ☎️ Lead Generation 💃 Romance tours)) NFA
194,Ali Naqi Ansari,2014-11-25 06:51:47+00:00,"Dubai, United Arab Emirates",
