,User,Time,Location,Description
407,Maverrik,2010-04-07 08:42:16+00:00,"Plymouth, GB, PL4 0SF","Get Clients, Grow Faster, Spend Less Time Selling 💥

Combine the best of marketing with the best of sales to leverage digital platforms and achieve results."
408,Melih Vatansever,2021-02-16 10:33:27+00:00,"Zurich, Switzerland","Corporate Partner Lead @tenity_global

#startups #incubation #acceleration #fintech #insurtech #regtech"
409,JDub,2009-04-11 02:44:00+00:00,Australia,Mother and Grandmother with a point of view. XRP HODLer 😄👍🚀
410,sai-suman mangalagiri,2008-06-01 22:23:00+00:00,,global citizen
411,🅼🅸🅺🅴 🅹🅰🅼🅴🆂 🎙🐝🚀,2014-02-12 21:43:08+00:00,Crust of the Earth,"Entrepreneur at startup @hyperhyve, @kinnibees, dad, husband, outdoorsman & wannabe programmer. Writer, podcaster, publisher with guaranteed misspellings."
412,Remco Tolsma,2008-05-17 16:45:46+00:00,Friesland,Werkt bij @Pronamic. #WordPress expert. Getrouwd met @geertjejongboom :-).
413,Sæinas 🇪🇪🇬🇧,2018-11-16 20:41:31+00:00,Estonia,surfing the kali yuga
414,clemaxil,2022-10-14 09:15:40+00:00,Bourgogne Franche-Comté,Industrie du futur / Entreprise 4.0 : J'accompagne votre transformation numérique et votre croissance digitale
415,Klaudia,2022-02-24 19:53:51+00:00,,
416,まる◎@コドモン,2021-07-05 08:42:26+00:00,,
417,Giovanni Laricchia,2009-09-06 22:56:29+00:00,"Barcelona, España",
418,John mutuski,2012-09-11 03:10:52+00:00,,
419,Reto Merazzi,2014-07-14 04:11:44+00:00,Hong Kong,"Husband, Father, Runner, Reader, Business Technologist, Investor, Curious Mind"
420,Sue,2011-10-29 07:23:46+00:00,,
421,scollings,2008-03-31 02:27:00+00:00,"Auckland, NZ - usually",Ideas = opportunities  :  however people are needed to convert those opportunities into reality! Digital Products excite me. Batman is the best superhero!
422,Rob 101 💙,2012-01-26 08:17:27+00:00,"London, England","An 🇦🇺 living in 🇬🇧, politics, against inequality, for fairer taxes, climate action more & better political representation. #FBPE, #FBPPR #climatecrisis 💙"
423,Scott Chen,2015-11-02 16:15:05+00:00,Singapore,SocialEpoch- Founder & CEO | SocialSelling Experts | SocialSelling Trainer | Salesperson with Tech-Powered Help You Generate MORE Leads From SocialSelling.
424,Italo Estrada Petrocelli,2009-07-01 07:57:28+00:00,Panamá,"Freelance web developer | Programador en Estrada Work 🇵🇦. Topics: Programación, Tecnologia, Movilidad Urbana y Panamá"
425,"J🅿️ Mullin (🕉, 🌙)",2018-01-26 05:38:37+00:00,Hong Kong,🕉 @MANTRAOMNIVERSE & @SOMA_Finance Co-founder 🕉 | $OM | $AUM | $SOMA | $HELI | $ETH | $ATOM | $HBAR | $MATIC |
426,Mark Lyons,2012-10-27 02:22:36+00:00,"Somerville, MA",@squarkAI prev product @dremio @verticaunified • #data #analytics #design #tech to better the 🌍
427,Andrew Mark Fahey,2011-07-05 22:52:53+00:00,Tallahassee,
428,ea_cane9,2022-02-17 20:53:04+00:00,,
429,Steven Blake,2010-12-08 13:06:55+00:00,Bristol UK,"Group Lead | Visualisation capability, Europe at Jacobs"
430,Olivia Charlotte,2022-06-02 16:06:18+00:00,,"🌎 early stage ✨ hardtech for impact 🔥 climate, infra, energy, materials 💧 not financial advice ☀️ sidegigs: Venture Partner @enduring_planet & @ganasvc 💪🏻"
431,Devrim.,2010-08-17 17:28:58+00:00,Tampere | Tallinn | Ephesus,"I write code, non-fiction, fiction.
Owns: https://t.co/jHCNJ2mabz | https://t.co/nJjBxXXfMx
Built: https://t.co/slAgdo9Dyx | https://t.co/4ewLxWGVUP | https://t.co/5iv7HoOGrs | https://t.co/VX3WonzAM8 | https://t.co/uKPs03I2mD"
432,Cryptojedi.io,2015-06-05 06:28:13+00:00,"Wuppertal, Nordrhein-Westfalen",https://t.co/GACJZlBoCj | Finanzberatung im Web3 Zeitalter I
433,TaskTracks,2022-06-04 02:24:17+00:00,,"Productivity and time-management tools. See your meetings and tasks in one place, pulled from tools you already use."
434,Sunny 🇮🇳,2018-03-16 10:52:19+00:00,India,
435,Stuart Bailey,2007-09-20 21:19:58+00:00,Leicestershire,
436,Techa,2022-11-08 21:22:19+00:00,,"A private Software Development company, building applications for Android, IOS and Web."
437,TuVolqueta,2011-08-03 23:39:52+00:00,"Bogotá, D.C., Colombia","Somos una empresa que ofrece los Servicios de Alquiler de Volquetas para Retiro de Escombros y Basuras, Venta de Materiales para Construcción móvil 3112061513"
438,Jeff,2011-09-05 17:15:08+00:00,Publik Area,Searching-Watching-Monitoring
439,exoldier,2010-07-21 22:35:16+00:00,"Dubai, United Arab Emirates","Arabian Oil Mogul, Max Bidding #BTC since 2010. Bet more or gtfo."
440,Avinash K,2012-09-06 04:45:31+00:00,,ಕನ್ನಡಿಗ...ಭಾರತೀಯ...
441,ZhiWu,2022-10-23 01:06:00+00:00,,
442,Dami - “Mr.Damention”,2009-05-15 11:36:40+00:00,"Dallas, TX","An Indie Artist advocate | Family man | Record Producer | Mixing Engineer | I tweet about Music, Family & Sports"
443,Hello Cardify,2022-11-08 10:01:39+00:00,,"A sales action platform, enabling you to take action with the best prospects on a day-to-day basis."
444,Zoho Sign,2019-01-08 11:15:09+00:00,"Austin, TX","Sign, paperless!
A complete digital signature app 👨🏻‍💻 🧑🏼‍💼👨🏽‍💼
APIs and SDKs are available! 
Part of the @Zoho suite
Email: support@zohosign.com"
445,Bubba Larkin,2022-06-29 20:41:11+00:00,New York,"Loving, Gentle and honest man"
446,t🌴'artistiK,2022-10-14 14:12:58+00:00,France,"◾ t'artistiK
Digital Production & Promotion ressources MAKER
👉 https://t.co/Y1YHlkkonW

▫ SAMPLiNG◀ UNiT
Music Prod. ⚡ ...➕...
🔊 https://t.co/HiczmV7r6N"
447,James,2022-10-31 00:03:58+00:00,,
448,Referral Partner.com,2009-04-23 21:11:53+00:00,SF Bay Area,"Your guide to B2B products and services
Launching 2023"
449,Lukáš Ondrejček,2009-10-19 11:59:48+00:00,Slovakia,"Co-founder & product owner WebJET NET, LMS, DSK, DMS"
450,Textable,2020-05-04 02:33:16+00:00,"New Jersey, USA","Textable is an out of the box messaging solution for users of VoIP phone providers like Flowroute, Telnyx, https://t.co/W9mGBCQcaX, Twilio and more!"
451,Kike Cardona,2009-11-24 18:12:15+00:00,San Pedro Garza García,"Actor, locutor, mercadólogo, comunicólogo, garnachero y maestro Pokémon"
452,Jake Triton,2021-09-13 17:37:32+00:00,"West Palm Beach, FL",Health insurance agent and sales leader
453,Sales Whizz®,2019-09-24 14:01:53+00:00,"England, United Kingdom",Sales Whizz® provides professional Sales Coaching and Mentorship. We can also drive new sales for you as a Sales Consultancy.
454,Jessica Nameh,2022-09-13 02:44:24+00:00,,🇨🇦🇨🇦🇸🇾🇸🇾
455,Reading,2017-09-02 13:48:36+00:00,,I love to read
456,Felipe Sardinha,2012-06-08 23:55:24+00:00,Brasil,
457,Altois Digital,2020-05-11 13:43:15+00:00,"Mumbai, India",5+ Years in the Industry | 100+ Clients | Certified Google Partner | Pipedrive Elite Partner | We Are Hiring 👇🏻
458,Yassine Ammar,2020-12-30 10:20:11+00:00,"Muscat, Oman","Blockchain dev, passionate about contributing to web3 projects."
459,Dione Munir,2010-08-11 16:19:55+00:00,Uberlândia (MG),
460,Reinhard Neudorfer,2022-02-26 15:05:48+00:00,,
461,hommik🇪🇪💛💙,2017-09-24 19:50:31+00:00,Estonia,"art-/history, teacher, artist
🇺🇦Слава Україні!🇺🇦
РВК-ИН🇺🇦🇪🇪
Searching!
Seek and destroy!
Please support @ErkoLaidinen1 & @united_delivery
Pax et Bonum!"
462,Vanessa,2022-09-28 18:26:04+00:00,,I believe in God! I believe in love and being kind!  We all have an emptiness that only God can fill! I believe that God can do everything BUT fail!
463,Referral Factory | Referral Program Software,2021-02-15 06:59:44+00:00,15-day Free Trial →,Turn your customers into your biggest marketing channel using Referral Factory. 200 000+ referrals generated and counting. #1 referral program software 📣
464,Ilianatzanaki,2011-09-12 19:25:10+00:00,Amsterdam,vibes 🌻
465,Eugène Kuisch,2008-02-15 19:39:30+00:00,Nieuwegein,"Succes is de juiste mix van mensen, middelen en focus op de missie. Ik help je jouw juiste mix te vinden 👨🏾‍🚀 📡 🚀"
466,C M,2010-04-01 19:11:10+00:00,"Havelock, South Island","Trash opinions.

What's in the speaker's portfolio?

nuclear energy? great! waste in your kid's room.

digital $? great! we'll take your house until you pay."
467,Luke Gilliam,2022-10-26 14:53:00+00:00,,"Helping ACOs recruit practices, increase shared savings, and achieve value-based care."
468,Zur | Cold Emails 📨,2022-03-04 10:08:47+00:00,Philippines,Building a $10K lead gen agency | Follow for cold outreach tips
469,Lead Nectar,2022-10-27 18:00:25+00:00,New York,Digital Solutions for Investment Banks & Placement Agents
470,Sales Innovation Expo,2012-05-08 08:54:37+00:00,,"Welcome to #SIE22 - the largest sales event for professionals, offering cutting-edge advice and the latest technologies, products & services."
471,Michaela Lopez | VA Agency Owner,2018-04-17 21:23:19+00:00,"Davao City, Philippines",ENTP | Social Media Marketer | Content Strategist | VA Agency Owner
472,Roberto Castro,2008-04-05 05:37:25+00:00,Switzerland,Creador de El Productivista y Marca Personal. Procrastinador por oficio. Comparto lo que voy aprendiendo. Keep Walking.
473,BurryG,2019-04-24 20:18:00+00:00,"Manhattan, NY",Vivimos en la era del terrorismo informativo... subes o bajas ?
474,Alejandro Ruiz 🌐,2011-02-15 23:11:28+00:00,Entre Asturias y Ferrol,"Account Manager en @Hyliacom | Papá, Marketing y fútbol, in that order | Siempre aprendiendo."
475,Mendy Krauss 👨‍💻,2019-05-01 02:09:49+00:00,"Lakewood, NJ",Really love the new #nocode / #lowcode evolutions. Software automations is my favorite! Willing to learn from anyone!
476,Grup Kafegama,2011-01-29 09:49:25+00:00,ESPAÑA,"Somos una empresa joven y dinámica que huye de lo clásico y nos gusta innovar buscando siempre nuevas tendencias , sabores , etc .🌞☕️🛠"
477,LawClass,2022-10-22 22:36:10+00:00,"Porto Alegre, Brasil","O conteúdo jurídico mais atualizado, em cursos direcionados com aulas de 5 minutos!"
478,odouglasvieira,2019-07-31 18:13:49+00:00,"São Paulo, Brasil",Marketing Analyst
479,Mike Holloman,2008-09-12 05:25:03+00:00,"Houston, TX",Business broker (and also a parent; friend; animal and nature lover; general contributor to society)
480,▶️magiaenventas,2009-12-25 14:02:04+00:00,"Boca Raton, FL",Sales Transformation #salespills #MTB https://t.co/ZQRyfoj5rl… #salesup #salesb2b #ventaconsultiva
481,Christian Thyes,2011-10-25 20:09:45+00:00,Darmstadt,
482,Jennifer Vernon,2022-06-12 01:19:22+00:00,Los Angeles,"I'm a #BrandMarketing specialist. I like to post videos about #CorporateBranding, #BrandingTips and #OnlineBranding."
483,Zowie,2020-03-09 14:00:54+00:00,,The Customer Service automation platform built to help ecommerce brands delight customers and grow revenue.
484,Elmer Cado,2013-09-07 05:31:16+00:00,"Nueva York, USA",Pensado en pendejadas...
485,Chosen One,2022-09-26 20:59:31+00:00,,
486,Shim/sham,2022-04-29 01:48:35+00:00,United States,
487,Grizzlead,2015-10-30 12:07:02+00:00,France,French marketing agency 🇫🇷. We thrive to develop international & online business in France. #seo 🔍 #marketing 🚀 #socialmedia 😍
488,Arunkumar,2010-07-19 12:30:20+00:00,"tamilnadu,india","Product Manager, and scriptWriter🌏🛂."
489,BlueDot,2019-05-27 11:55:35+00:00,,Who cares?
490,César Herrera,2016-06-25 02:57:33+00:00,,Marketing Freelancer
491,Ramiro Libreros,2022-09-24 19:46:33+00:00,,Interesado en la tecnología 😎
492,Mobileforce Software,2014-08-07 20:48:06+00:00,"Sunnyvale, CA",Mobileforce offers the industry’s first integrated and intelligent revenue and service operations platform for the most demanding businesses
493,Cloe Mark,2022-10-13 14:53:48+00:00,,
494,Ian B,2010-11-18 13:55:19+00:00,London,
495,Dan Luke,2022-10-13 09:23:29+00:00,,Boxing Fan. Father. Entrepreneur. GOD IS GREAT
496,SMB Digital,2022-10-12 15:12:03+00:00,"Los Gatos, CA","we help SMBs digitize operations so they can go farther, faster"
497,Natalia Velez,2012-05-25 22:54:27+00:00,"Los Angeles, CA",International Tax Director @RiotGames | CEO & Co-founder @Disrupt3rs - Legal Tech for the Creator Economy | 🇨🇴 🇺🇸
498,Kishan Bhanabhagwanwala,2019-10-02 11:40:43+00:00,Internet,Investor🇮🇳 | Trader📈 | INFP |Learner📚 | Notion | Self-starter | Taking small steps in being myself every day.
499,Pennutpa,2021-12-21 02:08:13+00:00,"ปราจีนบุรี, ประเทศไทย",SoD
500,Nathan Wesley,2019-03-14 10:18:35+00:00,,LinkedIn Marketing & Lead Generation Skill
501,Ap Singh,2022-07-21 06:42:56+00:00,,#buildinpublic
502,Yannis Souris,2022-09-21 18:41:55+00:00,"Ottawa,  Ontario,  Canada",I help increase revenue of B2B tech companies by building and scaling their marketing operations. #techmarketing #B2Bmarketing #SaaS #Demandgen
503,Tata Hryhorieva,2014-08-10 14:05:28+00:00,,
504,The Chief,2020-01-11 19:29:23+00:00,,God Bless America!
505,Oscar Leo,2022-09-24 09:10:08+00:00,,
506,Stephen Ying,2007-04-01 07:39:47+00:00,"Chengdu,China",为义受逼迫的人有福了，因为天国是他们的。
507,Nick Pearce,2019-11-19 08:04:45+00:00,"Queensland, Australia","Director of @Weartek. Weartek Zero Workwear Range is built from recycled, renewable & sustainable materials to be the first Circular Economy Workwear offering."
508,David Sorbara,2022-10-06 18:41:26+00:00,World Wide Web 🌎,#Entrepreneur | Founder & President of @barkley_hq | Building a #SaaS business | Tweeting my journey
509,Guille,2007-08-11 23:54:26+00:00,Canary Islands ,"Serial music industry entrepeneur - Making changes in web2 (@zndrke , @beatlockio , @flowtheapp) to be prepared for web3 (@mintickt)"
510,kilianbarrera,2009-05-13 14:36:04+00:00,Las Palmas de Gran Canaria,Samurai CEO & CSO en @Welovroi. Emprendiendo descalzo y con datos durante 20 años. Contenido: #ventas #redessociales #negocio #startup #marketing #nocode
511,MX Fella,2022-09-29 18:50:06+00:00,,"SLAVA UKRAINI! 

#SlavaUkraini  #nafo #motocross
#boycottrussia 
https://t.co/raZtZzhMpb DONATE"
512,Willow & Puddifoot,2019-07-15 09:05:20+00:00,"Oxford, England","The people development specialists. Management training programmes, wellbeing workshops, coaching and consultancy. Scaleup experts."
513,Kainos Mbanda,2016-08-24 09:28:41+00:00,"Harare, Zimbabwe","I am a Quantity Surveyor and a freelance draughtsman. i am an anime creator to be and an advocate for better Zimbabwe,"
514,Mike Nicholls,2008-06-18 06:06:12+00:00,Sydney,"Partner @ Main Sequence Ventures 
Check out our Australian #DeepTech Jobs & Talent Network https://t.co/mw7EYSCS51
Book a morning call https://t.co/gJAf99JKoQ"
515,Ronie Melo,2010-08-05 20:10:58+00:00,São Paulo,
516,Pratik Verma,2022-07-23 06:55:51+00:00,,
517,عبدالحمید,2009-10-22 13:47:51+00:00,لاہور، پاکستان,
518,CX Scoop,2022-10-03 10:32:10+00:00,,Get the latest scoop on B2B news and trends in #customerexperience. We talk about #contactcenter #crm #feedback #ai #automation #analytics #wfo and more!
519,OllyDaGooner,2014-09-30 10:27:20+00:00,,Gold.
520,Father Of Creativity 👽™️,2014-07-15 21:01:32+00:00,creativity,ꜱᴛᴀʀᴛᴜᴘ ᴅᴇᴠᴇʟᴏᴘᴇʀ | ᴄʀᴇᴀᴛɪᴠᴇ ʙᴜꜱɪɴᴇꜱꜱ |ᴘʀᴏ ᴡʀɪᴛᴇʀ | ᴇᴠᴇɴᴛ ᴍɢᴛ | ᴛᴇᴅx ꜱᴘᴇᴀᴋᴇʀ | ᴄɪɴᴇᴍᴀ ᴇxʜɪʙɪᴛᴏʀ | A&R  Building - ▶@creatapp @imaginecinemas1
521,babybratdarling,2022-09-19 01:00:50+00:00,"England, United Kingdom","Yes I'm real and genuine.
Yes I expect the same.
I am new to this."
522,Mike Dyson,2019-01-09 19:47:46+00:00,United Kingdom,too many tweets makes one a twot 🇬🇧 I’m a man and my wife is a woman I have three children all born male and still are!
523,T|E,2015-05-09 12:49:18+00:00,,Lawyer. Entrepreneur
524,Dilabco,2022-08-24 15:52:34+00:00,United States,We bring Artificial intelligence and laboratory automation to a clinic/hospital near you. Helping healthcare system to use cutting  edge technologies.
525,Kris Millar,2022-07-08 08:20:34+00:00,Scotland,Blockchain | Web3 | Impact. Co-founder Spade Tech Web3 security and development studio. Coming soon: https://t.co/tu2VFmIWqQ.
526,Ag,2022-09-30 04:26:19+00:00,United States,r we being serious rn?
527,The Problem-Solver💙🚀,2019-09-19 16:19:56+00:00,josephfashola0@gmail.com,Business Analyst | Product Management | Building @Agrolinking
528,S HP,2022-10-01 06:46:08+00:00,,
529,Melissa O’Kane,2022-09-30 19:36:08+00:00,"San Francisco, CA","Director of Product Management @Salesforce / @SalesCloud
Founder & President Salesforce Women in Product 
@melissa@mastodon.cloud 

Tweets: My own"
530,Channelnomics,2010-04-09 22:16:40+00:00,New York,"@Channelnomics is the channel’s one-stop source of information and guidance on the dynamic technology channel and industry.

CEO: @lmwalsh_CN"
531,MAGAmilf.com,2021-02-07 15:13:24+00:00,USA - Ready for Development ✌️,#MAGA #MILF #MILFmonday #bikinimodel #lingeriemodel #FitnessModel #losangeles #beverlyhills #DonaldTrump #Republican #democrat #Republicans #democrats
532,theskuare,2021-09-12 18:52:20+00:00,,Historical NFT’s #history #art #nft #web3
533,Gamze Özakın,2022-09-21 14:52:29+00:00,,
534,Emre Gökşin,2008-10-30 18:35:59+00:00,İstanbul,"#DigitalMarketer | Founder @branchsight
Past : @turkcell @gittigidiyor @puhutv"
535,Jake @ Copper CRM,2022-09-29 13:47:40+00:00,,
536,brn Cifuentes,2013-08-19 21:15:24+00:00,,
537,Mark Jackson,2014-12-16 18:17:02+00:00,"Hartford, CT",
538,Private Investigator Switzerland™ 🇨🇭,2020-12-15 07:53:56+00:00,"Zürich ZH, Switzerland",Private Investigator Switzerland has 220 years of know-how and 85 years of combined investigative & intelligence management experience. #Detective #Investigator
539,TaskReviewer for Teamwork,2020-03-24 19:51:06+00:00,"Berlin, Germany",Visual feedback made easy for @Teamwork. Right within Teamwork you can get feedback and approval for media assets and files!
540,WithGodEarthandI,2021-02-06 07:16:39+00:00,Planet Earth,"God created the planet Earth for people to live in peace...
#Ukraine #nowar #victoryofgoodoverevil 🌻🇺🇦"
541,QUICKBLOCK®,2021-08-17 13:48:33+00:00,Glasgow ,"QUICKBLOCK is a flat-pack, modular building system made from 100% recycled plastic. WHAT WOULD YOU BUILD?"
542,Rahul Deshmukh,2012-03-08 14:17:18+00:00,"Pune, India","Salesforce Business Analyst | 
ERP | CRM | CPQ       
2X Salesforce Certified | Trailblazer.
MBA Marketing 2016 
B.E Mechanical 2014"
543,pravin boppuri,2011-12-28 00:05:36+00:00,Germany,Enjoys solving problems with data….data & solutions architect by profession and also a Human Being passionate about health & wellness.
544,Vishal Sahjani,2015-02-14 09:23:24+00:00,Ahmedabad,"I help small businesses go digital with NoCode LowCode apps |
Learning Web Development | Chartered Accountant"
545,luciano,2011-10-24 04:59:21+00:00,Mexico,
546,Pawel Warszycki,2020-03-13 20:19:40+00:00,Germany,
547,Galactica,2012-06-07 10:54:01+00:00,Melyat'lı bir Laz,"+What do you hear Starbuck?
-Nothing but the rain, sir!
+Then grab your gun and bring in the cat. 
-Aye aye sir!
So Say We All!"
548,I am Max.,2022-04-05 10:17:42+00:00,,Neo-Generalist | UX Designer | Jack of all trades | Currently exploring low code & no code tools.
549,Carbon&Finch,2021-04-01 08:18:17+00:00,"Epsom, United Kingdom ","Microsoft CloudPartner.
Delivering high-quality, intricate solutions for enterprises using Microsoft Technologies."
550,UEAY,2018-03-27 14:57:00+00:00,"Düsseldorf, Deutschland",Learning.Building.
551,hans,2019-04-04 18:43:06+00:00,Southeast Asia,
552,Michael 🫠,2014-02-16 08:31:59+00:00,"Graz, Österreich","Co-Founder of a software consulting agency. Software Dev, DevOps, AI & Design 🚀"
553,Konstantin Harten,2009-05-09 23:09:10+00:00,"Hamburg, Germany",💻 Software Engineer from ⚓️ Hamburg
554,nadim hallaq,2019-09-02 03:35:25+00:00,Montreal,Building with Remix
555,James Bowles,2010-12-08 13:06:23+00:00,Dublin + NYC + SF,CCO @MasonAlexander_ & https://t.co/FvBndE3m3Z  Co-founder @Leaders_of_Tech
556,GhostInTheSh | shail.eth,2018-12-02 17:53:35+00:00,"Mumbai, India","Shail B, but sometimes Shail G. I am no longer the human formerly know as Shail nor the program formerly Bourne as sh."
557,Sriram Vaidhya,2009-03-03 04:57:58+00:00,Singapore 🇸🇬,"Working on something new. Ex-@Airbnb, ex-@Apple Evangelist, ex-quant @ThirdPointLLC and @Citadel. @CarnegieMellon and @Columbia alum."
558,Ricardo Dutra,2020-01-03 15:11:33+00:00,,Amor ao conhecimento
559,socramXX,2013-06-12 08:49:35+00:00,"Fresno, CA",panda
560,Cris,2021-08-21 08:33:53+00:00,"Berkeley, CA",
561,Blue,2016-06-26 20:28:29+00:00,Tantallon CA,"White, male, Immigrant and happy. don’t trust the narrative. disliking woke madness being a bit conservative."
562,Ikpoma Joseph Agasi,2018-03-15 19:42:35+00:00,Nigeria,i'm a Student
563,Filip Wagmi,2022-03-03 13:15:57+00:00,Metaverse,"We all gonna make it! 🚀

#blockchain #metaverse #web3"
564,Arni Westh #CatFellas #NAFO 🇩🇰🇪🇺🇺🇦🌻,2014-02-27 22:17:02+00:00,Copenhagen,
565,FRANCISCO MURILO SOARES TEMOTEO,2022-01-24 15:46:46+00:00,FORTALEZA-CE,ser   feliz   com  jesus!!!!  amém!!!!
566,Plasmid144 Digital Marketing,2022-04-29 15:07:25+00:00,,"We are a digital marketing company based in Ontario Canada that focuses on digital transformations. We specializ in Website Design & Development, SEO & PPC."
567,Ry,2021-01-14 14:02:25+00:00,,
568,Amber Startup,2022-08-03 12:44:56+00:00,🇪🇺 CEE,"Insights and opinions from #startups in Poland, Lithuania, Latvia, Estonia and Ukraine.
 🇵🇱 🇱🇹 🇱🇻 🇪🇪 🇺🇦"
569,Marimuthu R,2014-06-21 16:25:02+00:00,Aranthangi,From மேலப்பட்டு
570,Topias Pulkkinen🇺🇦,2015-11-21 18:50:51+00:00,The Netherlands,"Into geopolitics, tech, finance & science 
🇫🇮 uni student in 🇳🇱 Kannatan, mutten edusta @natonuoret :)"
571,Onur Coskun ,2021-03-22 14:31:35+00:00,Wertheim am Main,"""Für jeden Menschen, den die Nacht nicht besiegt, gibt es einen Morgen, einen Tag und eine Sonne als Belohnung."""
572,Toby Kiernan,2022-01-31 10:49:33+00:00,USA,"I'm interested by human creativity and technology. Nature enthusiast, self-motivator, Animal lover & Organic SEO Strategist. Follow ME on @Medium @Newsbreakapp!"
573,Databeys,2021-06-06 21:46:01+00:00,"Dubai, UAE",HubSpot Solution Partner | Zendesk & Pipedrive Partner | CRM Implementation | Automation | Integration | CRM Migration
574,Steve Rella,2011-02-25 18:13:07+00:00,,
575,Richard Jones,2012-01-30 02:16:31+00:00,,
576,Bogota Real Estate,2020-06-15 14:56:19+00:00,"Bogotá, D.C., Colombia","#SoyAndresAmaya, Profesional en Negocios inmobiliarios y Marketing Inmobiliario 
🏘️ #AgenteInmobiliario en #Bogotá 
🏫 #MarketingInmobiliario
🏰 #RealEstate"
577,Scott,2010-07-08 20:00:30+00:00,"Portland, OR",Proud Husband & Father. SoCal native. PNW Convert. Tottenham until they kill me. COYS. RCTID.
578,Bezerraxan Observando o Mundo dos Sapiens,2009-06-07 14:42:45+00:00,brasil,Brasil
579,Daniel Kursa,2013-03-15 12:46:48+00:00,Hlavní město Praha,🇪🇺🇨🇿
580,Jakub,2021-03-22 18:22:42+00:00,"Jarocin, Polska","🔥 Welcome to my Twitter feed, where people come for enjoyment."
581,yang,2020-02-07 08:35:58+00:00,beijing,Do a little bit about technology work
582,Richard Hayes,2017-07-27 00:33:49+00:00,"Houston, TX",Catholic | Husband | Father | Attorney | Partner at Walker & Taylor | Director for 2A Lawyers | Firearms Instructor | Legislative Advisor
583,d,2015-11-24 22:03:22+00:00,,
584,Laurent Sayada,2014-11-05 02:43:18+00:00,Montreal,"Mortgage broker, Courtier hypothecaire, Help clients from Quebec and abroad to finance real estate investments in Canada, Bilingual French/English"
585,Allen Wrestling,2009-12-22 01:21:45+00:00,"Allen, TX","Match updates, tournament progress, travel info & more from Eagle Wrestling staff and supporters"
586,Spike_V,2014-04-07 21:15:48+00:00,"Pennsylvania, USA",Games and all things nerdy. Love dogs -hell all animals. Rescue. Metalhead.
587,Aermensa,2022-09-18 18:14:52+00:00,,"We offer specialized Airtable & Zapier consulting, development & training for small businesses."
588,John Hopper,2010-04-15 13:11:00+00:00,"Detroit, Michigan","Original, family man, world's greatest dad, deal chaser, dream catcher, innovator, creator, businessman, entrepreneur and having a blast doing it all."
589,Ravi Soni,2010-04-19 18:46:17+00:00,India,"I advocate about @WordPress. my agency help businesses migrating into WordPress: Streamline and Improve. Co-founder at @expresstechsoft ,  WA +91-9806724185,"
590,Sebastián Mozó,2022-05-25 04:27:40+00:00,Chile,"Ayudo a mejorar la realidad de mis clientes.
|
Director Comercial en @EmpConectada"
591,Mario Rosales,2009-08-16 03:28:59+00:00,España,"Vice President of Sales
@Lirmidotcom"
592,Raphaël - Baback,2022-09-09 12:41:45+00:00,Paris - Strasbourg,"CEO @Baback_
Returns & Exchanges on @Shopify"
593,Mary O'Brien,2022-05-09 14:36:09+00:00,France,Discovering the world of SaaS with @JoinSecret | Marketing & content writer | DCU & Neoma graduate | Can't figure out what to put as my cover photo 🤦‍♀️
594,angela,2012-03-19 20:27:09+00:00,,
595,Christian🔺,2011-03-02 05:23:03+00:00,Ukraine,Amerikanski living in Ukraine for under $1.5k a month while Stacking Cash 📸 Photo 📈 Stocks / Crypto💰E-com ☎️ Lead Generation NFA
596,Ali Naqi Ansari,2014-11-25 06:51:47+00:00,"Dubai, United Arab Emirates",Founder | Growth Enablement Leader | Technology Implementation | Digital Transformation | Applications | Automation | Workflow | CRM | ERP | Integration
597,Rifadh Simshek ⚡,2019-10-23 02:46:58+00:00,,"Co-Founder @VelvHQ | Raising our pre-seed 🚀 DM Open |

Caffeinated reader, probably listening to a podcast.

Made in 🇱🇰. #Culé. ❤️☕️"
598,Raunsky,2022-07-24 17:49:37+00:00,,Back up account for rshigsby
599,Q3 ADVOCACY,2012-07-25 10:07:09+00:00,France,Plateforme SaaS d'amplification de l’engagement client #viral #communauté #Q/R #avis #comarketing #satisfaction
600,Efinite,2022-09-13 05:50:57+00:00,,A solo traveler floats within the infinite world
601,Patrizia Becker,2011-03-08 14:38:03+00:00,"Stuttgart, Deutschland","https://t.co/wgmGrkxfEU  #Kundenbegeisterung# #Customer Service #Persönlichkeitsentwicklung #Image #Kundengewinnung 
Folgen, RT ist nicht gleich Beifall."
602,Meher Sehgal,2013-03-18 19:08:32+00:00,"Tallinn, Estonia",Building future of 📨 at @Pipedrive | On a Pathless Path
603,Victor Brazon,2008-10-30 15:21:04+00:00,"ÜT: 29.761314,-95.624996","Hope for the best and prepare for the worst. 
@acuriousmate. 
@krillenergy. 
https://t.co/7CM1oV1w0q"
604,Dean Sale,2009-10-03 11:12:17+00:00,,Blowing out someone else's candle won't make yours shine brighter
605,Nirmeet Kacheria,2009-06-22 19:49:11+00:00,,"Curator, Global Shapers Ahmedabad & Director, Guardian Glass Ind. Pvt. Ltd.
Founder, KalaBhan"
606,Bilal 🛸,2020-06-07 16:57:46+00:00,"Solingen, Deutschland",Bilal - 🇩🇪 | Crypto Trader | #Bitcoin & Altcoins Investor | HOLD $BTC $ETH $DOT $ADA |
607,Alex Atherton,2013-02-16 17:04:35+00:00,"London, England",Leadership Coach & Mentor | Team Coach | Speaker | Gen Z research
